PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
0F6d7,1r3knr/1bqp4/p1nNpPB1/1p4b1/5QP1/5N2/PP3P2/3R1RK1 w - - 0 23,f3g5 c6d4 g5h7 h8h7 g6h7 d4e2 g1h2 e2f4,2260,83,69,34,crushing fork middlegame quietMove sacrifice veryLong,https://lichess.org/yJtF1Hxs#45
0BV9z,6k1/5p2/q3pB2/3b2P1/P7/1P6/2B5/1K1R4 b - - 0 48,a6b7 d1d4 g8f8 d4h4 f8e8 g5g6 d5b3 g6g7 b3c2 b1c2 b7g2 c2b3 g2g3 f6c3 g3h4 g7g8q,2676,89,90,94,advancedPawn crushing endgame promotion quietMove veryLong,https://lichess.org/nWXFIPET/black#96
0nH8d,r2qr1k1/5p1p/pp1p2pB/2pPn3/P1P1PR1b/1PN1Q1nP/2B3P1/R5K1 b - - 9 25,h4g5 h6g5 d8g5 h3h4 g5f4 e3f4,2129,75,90,1193,crushing long middlegame,https://lichess.org/A8XsaCFX/black#50
01TmZ,r1b2rk1/1p2bppp/pqnp4/3Np3/2B1PP2/PN6/1PP2nPP/R1BQ1R1K w - - 5 13,h1g1 f2h3 g1h1 b6g1 f1g1 h3f2,1335,83,87,3561,doubleCheck kingsideAttack long mate mateIn3 opening sacrifice smotheredMate,https://lichess.org/RIwXCRjL#25
0VntO,N3Q3/7p/5pp1/p2p1nk1/3bp1q1/PP6/2P3PP/1R3R1K w - - 0 35,e8b5 f5g3 h2g3 g4h5,1445,80,69,48,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/mYT0YVwl#69
0I9Ik,r1b1kb1r/p4ppp/4pn2/1BqN4/8/8/PPPB1PPP/R2QK2R b KQkq - 2 11,c5b5 d5c7 e8e7 c7b5,861,91,94,1530,crushing fork opening short,https://lichess.org/FVKHIV8v/black#22
0yRw7,4R3/8/3k4/2pr2pp/5p2/2K3PP/P4P2/8 b - - 1 39,f4g3 e8d8 d6c6 d8d5 c6d5 f2g3 h5h4 g3g4,2418,78,82,577,crushing defensiveMove endgame rookEndgame veryLong,https://lichess.org/jAfvUEMu/black#78
0mJTX,rn2k2r/ppp1bppp/4pBb1/8/4P3/2N3P1/PPP2PBP/3RK1NR b Kkq - 0 9,e7f6 e4e5 c7c6 e5f6,1500,500,100,1,crushing middlegame short,https://lichess.org/4hC0wCvv/black#18
0iZ7L,r3k1nQ/ppp2p1p/3p4/2bNp3/2BnP3/8/PPPPbqPP/R1BK3R w q - 0 10,c4e2 f2e2,989,145,100,28,mate mateIn1 middlegame oneMove,https://lichess.org/VPid7L4Z#19
0no1J,3nrk2/1pP2ppn/7p/4p3/Q1N1P2N/2q4P/5PP1/4R1K1 w - - 0 26,c7d8q c3e1 g1h2 e8d8 a4a3 f8g8,1651,85,78,54,advantage defensiveMove hangingPiece intermezzo long middlegame,https://lichess.org/oqEL1yQ1#51
0hB2K,2k2r2/1pp2r2/p5p1/3N2Bn/4P1K1/7P/PPP5/4R3 b - - 4 31,f7f3 d5e7 c8b8 e7g6,1257,77,88,580,crushing endgame short,https://lichess.org/Y76MqmQw/black#62
0ws9Q,r5k1/pp2n1pp/2p2r1q/8/3pPR2/3P2N1/PPPQ2PP/5RK1 w - - 0 18,f4f6 h6d2,1070,128,85,22,advantage hangingPiece middlegame oneMove,https://lichess.org/HzzzWsgg#35
0EcHs,r1bq1k1r/ppp3pp/2np1b2/3Q2B1/5R2/2p2N2/PPP2PPP/4R1K1 b - - 6 13,c3b2 f4f6 d8f6 g5f6,2091,77,91,690,advantage master middlegame short,https://lichess.org/v89RMmE4/black#26
0rHeH,1r6/6pp/3R1p2/1pK1k3/p1p5/2P4P/PP3PP1/8 w - - 4 40,d6b6 b8b6 c5b6 b5b4,1899,75,71,130,crushing endgame rookEndgame short,https://lichess.org/lU8WRnVX#79
0idYw,r2q2rk/5p2/p1b2P2/1pp4p/3p4/3P1N2/PPP1Q1PP/R4RK1 b - - 0 20,d8f6 f3e5 f6h4 e5c6,1802,83,72,34,crushing middlegame short,https://lichess.org/y8PYKns1/black#40
0qKdF,8/5p2/4kp2/1ppp4/1P2PP2/2PK1P2/8/8 b - - 0 44,c5c4 d3d4 d5e4 f3e4 e6d6 f4f5 d6c6 e4e5 f6e5 d4e5,2095,75,84,59,crushing defensiveMove endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/uqDrmn8K/black#88
03tkj,r2q3k/3b2p1/p2p1r1p/1ppB1P2/4P3/4B3/PPP5/2K3QR b - - 1 23,a8a7 e3g5 d8f8 g5f6 f8f6 e4e5 d6e5 g1c5,2563,116,90,594,advantage deflection middlegame pin veryLong,https://lichess.org/6VJTmQz4/black#46
0ciwn,r6k/pp3pb1/2p4p/8/1P2QP2/2P4P/PKB4q/8 b - - 2 29,h2h3 e4h7,858,94,95,160,endgame mate mateIn1 oneMove,https://lichess.org/kzzO1OHC/black#58
043Zg,rnb1k2r/pp2n1Rp/2p2p2/2p1p3/2B1P2Q/2NP1q2/PPP2P1P/R3K3 b Qkq - 0 12,e7g6 g7g6 h7g6 h4h8,1839,75,93,1243,advantage capturingDefender middlegame short,https://lichess.org/mlKTTko6/black#24
0o7Mr,6k1/1r3p1p/2p3p1/1Pqp2P1/r3pQ2/1R2P3/5P1P/1R3K2 w - - 0 34,b5c6 b7b3 b1b3 c5c4 f1g2 c4b3,1894,75,86,121,attraction crushing endgame fork long master,https://lichess.org/LhDKAcb0#67
0X72g,8/8/8/1k1p1K2/3P4/8/8/8 b - - 0 67,b5b4 f5e6 b4c4 e6e5 c4c3 e5d5,1878,76,94,110,crushing endgame long pawnEndgame zugzwang,https://lichess.org/rucjcYVf/black#134
0KyZL,2r3k1/2r2pp1/1p5p/p2pRB2/3P4/PbP4P/1P4P1/4R1K1 b - - 0 26,c8d8 e5e8 d8e8 e1e8,608,88,67,370,endgame kingsideAttack mate mateIn2 short,https://lichess.org/a995q0fH/black#52
04w8X,rn3rk1/2p2ppp/4p3/pp1b1qB1/1n5P/3P1NP1/PP2PPB1/1QKR3R w - - 5 18,e2e4 d5e4 d3e4 f5c5 c1d2 c5f2,2175,82,82,55,advantage clearance long middlegame sacrifice,https://lichess.org/3oubCUYh#35
0E3tf,r2q1rk1/1p1b1ppp/3p1b2/3P4/p1Pp4/3B1N2/PP3PPP/R3QRK1 b - - 4 17,d7g4 e1e4 g7g6 e4g4,1779,75,94,6844,crushing middlegame short,https://lichess.org/y3A2eYRv/black#34
0U8VH,r1b1kb1r/ppp1pppp/2n5/4q3/8/5B2/PPPPQPPP/R1B1K1NR b KQkq - 5 7,c8f5 f3c6 b7c6 e2e5,959,80,93,1067,crushing opening short,https://lichess.org/WNrM07DF/black#14
0BmOp,1r4k1/1p3ppp/3Q4/p2p4/3P4/Kb2P3/2q2PPP/8 b - - 1 27,c2c4 d6b8 c4c8 b8c8,741,80,100,828,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/c7FQVvAZ/black#54
0aBI8,2krr3/ppp1qp2/5np1/1N5p/1Pn5/P3PP2/2Q2BPP/R2R2K1 b - - 1 23,d8d1 a1d1 c4e3 f2e3 e7e3 g1f1 c7c6 b5d6 c8b8 d6e8,2260,80,89,528,advantage fork middlegame veryLong,https://lichess.org/1wdHhJSV/black#46
0wPEK,2r3k1/1p1b1pp1/3p1b1p/1P1P4/3P4/r2BB2P/5PP1/1K1R3R w - - 5 25,d1d2 a3d3 d2d3 d7f5 h1d1 c8c3 b1b2 c3d3,2299,72,93,4672,crushing middlegame pin sacrifice veryLong,https://lichess.org/Arg9uTmr#49
0uGwO,2r2rk1/p2nbppp/8/8/3p4/8/PP3PPP/RNB1R1K1 w - - 2 18,e1e7 c8c1 e7e1 c1e1,871,98,91,908,backRankMate hangingPiece mate mateIn2 middlegame short,https://lichess.org/qUc2sGRJ#35
0nXeJ,3r2k1/pp3p2/1b6/3pr3/6pB/2P5/PP1R2P1/5R1K w - - 0 28,h4d8 e5h5 d8h4 h5h4,1227,77,91,387,endgame mate mateIn2 short,https://lichess.org/CtVBcYxN#55
054BF,6k1/8/5P2/4R1K1/5P1P/1p6/8/1r6 w - - 0 53,g5g6 b1g1 g6h6 b3b2,1108,85,84,156,advancedPawn crushing endgame rookEndgame short,https://lichess.org/T2pPc30K#105
0XgWt,8/1p6/p3K3/Pp4P1/8/1k2n2P/8/8 b - - 0 49,b5b4 g5g6 b3a3 g6g7 b4b3 g7g8q,763,95,81,334,advancedPawn advantage endgame knightEndgame long promotion,https://lichess.org/nXPwokM0/black#98
0FDFb,3r3r/pp1kpQ2/3q4/7p/3n4/1PP5/6PP/3R1RK1 b - - 0 27,d4e2 g1h1 d6d1 f1d1,1359,77,84,378,advantage middlegame pin short,https://lichess.org/LQDm0IkR/black#54
0Zhtm,r4rk1/1p1qb1p1/3p3p/p1pPp1n1/P1P1P3/1P2Q2P/1B3PP1/RN3RK1 w - - 4 23,b1c3 f8f3 e3f3 g5f3,1828,88,80,31,crushing kingsideAttack middlegame short,https://lichess.org/X8nW5hxl#45
0KhoZ,8/8/6p1/5k1p/3p1P2/3K2P1/7P/8 b - - 0 38,g6g5 f4g5 f5g5 h2h3 g5f5 d3d4 f5e6 d4e4,2235,74,93,1250,crushing defensiveMove endgame pawnEndgame quietMove veryLong,https://lichess.org/8JTm4MNq/black#76
0QATf,8/8/2pk1p2/5P2/PP1KP2p/1R6/8/7r w - - 0 55,b4b5 c6c5 d4c4 h1c1 b3c3 c1c3 c4c3 h4h3,1742,337,100,1,crushing endgame rookEndgame veryLong,https://lichess.org/VdUJxnaX#109
0x8nD,r2r2k1/p3qppp/bpp5/4n3/8/2N2BN1/PPPR1PPP/RQ4K1 w - - 1 17,b1e1 e5f3 g2f3 e7e1 a1e1 d8d2,1380,111,100,46,crushing discoveredAttack kingsideAttack long middlegame,https://lichess.org/BZCcgGzR#33
0UPSi,3r2rk/pp3p1p/4p3/5pQ1/1Pqb4/P7/4NPPP/3RR1K1 w - - 4 28,d1d4 c4d4 g5g8 h8g8 e2d4 d8d4,2260,95,56,25,advantage long middlegame,https://lichess.org/0QzwWwMh#55
0xeEb,1k4r1/ppp4q/8/1P6/P1Ppp2P/3n3Q/R4PBK/5R2 w - - 4 33,a2d2 d3f4 h3g3 f4g2 h2g2 d4d3,2735,92,51,39,advantage long middlegame pin,https://lichess.org/7tZh68E2#65
0k4jr,r1b2rk1/2p1qp1p/1p1p2pQ/p1nP4/2nNPR2/2N3PP/PP4B1/R5K1 b - - 3 18,e7e5 d4c6 e5g7 c6e7 g8h8 e7g6,2026,91,70,23,advantage kingsideAttack long master middlegame pin,https://lichess.org/xmTZ1FCs/black#36
0IKjh,8/7k/7p/3p1R2/r1bP1Np1/6P1/5P1P/6K1 w - - 0 44,f5f7 h7g8 f7a7 a4a7,828,101,94,380,crushing endgame short,https://lichess.org/M7SbtKVD#87
1420p,7k/1R6/6R1/5p2/7P/4p3/2r2rPK/8 w - - 0 45,g6e6 f2g2 h2h3 f5f4,2214,81,69,50,crushing defensiveMove endgame rookEndgame short,https://lichess.org/xiWVeLYP#89
0JWR6,R7/2kb4/5pp1/7p/1P1P1P1P/4K1P1/8/8 w - - 0 38,e3e4 d7c6 d4d5 c6a8 f4f5 g6f5 e4f5 a8d5 g3g4 h5g4,1485,76,80,242,crushing endgame fork veryLong,https://lichess.org/lauxsKRt#75
0mFx7,1k3r2/4q1p1/2pr3p/1p2p3/4Q3/1BP5/PP3PPP/4R1K1 b - - 5 25,f8f4 e4f4 e5f4 e1e7,1472,76,79,255,crushing discoveredAttack endgame short,https://lichess.org/y3tH4kp9/black#50
0wHEI,r3k1b1/6b1/1p5p/2ppP3/2p3B1/P1P3P1/1P1N2P1/2K4R b q - 0 24,g7e5 h1e1 e8f7 e1e5,1733,88,50,56,crushing endgame pin short,https://lichess.org/RzM0wtNz/black#48
03ujz,1k1r3r/ppp3p1/8/8/3Q4/3K2N1/PPP1Nq2/R3R3 w - - 2 35,e1f1 d8d4 e2d4 f2g3,1365,357,100,2,crushing middlegame short,https://lichess.org/N9fRugMx#69
10lnt,r5k1/3qnr2/p1pp2p1/4ppB1/PP5Q/2PP3P/5PP1/R3R1K1 w - - 4 24,h4h6 f7h7 h6h7 g8h7,862,93,80,63,advantage middlegame short trappedPiece,https://lichess.org/xHKKAps0#47
0aKv3,2k5/ppp1R1p1/8/8/4PQ2/5KNr/P6P/5q2 w - - 3 30,f3g4 h3h4 g4h4 f1f4,1612,74,98,5719,attraction crushing deflection endgame short,https://lichess.org/ufffj8dz#59
0T8dt,6k1/ppp3p1/1nn3Qp/4P2P/8/1NP5/PP1Rq1P1/2K2r1R w - - 5 26,c1c2 c6b4 c3b4 e2c4,1931,78,85,126,mate mateIn2 middlegame sacrifice short,https://lichess.org/gEOGfvTm#51
12RNF,5rk1/2p2pp1/2Np3p/1P1Pp3/2P1Pb2/5P2/6KP/5R2 b - - 0 32,f8a8 c4c5 f4e3 b5b6 c7b6 c5d6,2279,77,97,285,crushing deflection endgame long,https://lichess.org/hXB3cZmI/black#64
0iEC2,r4rk1/5pbp/4p1p1/pp1p1qPP/5B2/P1P3Q1/1P1N1P2/2KR1B1b b - - 2 22,b5b4 f1h3 f5f4 g3f4,2168,79,86,249,advantage middlegame short trappedPiece,https://lichess.org/eXEmeu44/black#44
0GlQt,4q3/ppk3pp/2pb4/8/2B3P1/P4Q2/3r2PP/B4K1R w - - 4 24,f3f7 e8f7 c4f7 d2d1,838,84,85,126,advantage middlegame short,https://lichess.org/Et4dHVHZ#47
13HKU,4k2r/p3b2p/6p1/8/8/3Q4/Pq3PPP/RN2K2R w KQk - 0 19,d3c3 e7b4 e1g1 b4c3,1093,79,91,977,advantage middlegame pin short,https://lichess.org/CiG8Om9C#37
04Y9U,6k1/p6p/3b1N2/1p4p1/5pP1/1Pr1P2P/P4K2/4R3 b - - 1 33,g8g7 f6e8 g7g8 e8d6,955,75,100,1799,crushing endgame fork short,https://lichess.org/CKY9oTk4/black#66
0mC1D,8/8/1p2kp1p/pK6/P5P1/8/7P/8 b - - 1 67,e6e5 b5b6 h6h5 g4h5 f6f5 b6c5,2703,113,91,1237,crushing defensiveMove endgame long pawnEndgame,https://lichess.org/jmgslXAQ/black#134
0fbNI,r4rk1/pp4p1/2p1R1Qp/3p2n1/3P1qP1/1NP4P/PP3P2/5RK1 w - - 5 21,e6e7 g5f3 g1h1 f4h2,1939,77,84,68,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/NUlIiBNF#41
13Ta3,7k/1pp2Rp1/p3r2p/2p5/4P2Q/1q1P3P/6P1/7K b - - 0 33,b3d3 h4g4 g7g5 g4e6 d3d1 h1h2 d1d6 e6d6,1900,73,96,4478,crushing endgame veryLong,https://lichess.org/HphZjBsk/black#66
0A3GS,3r1rk1/1Qpn1pp1/8/4b1qp/2B3b1/2P1P3/PP1N1PPP/R1B2RK1 w - - 0 17,d2f3 g4f3 b7f3 g5h4 c4f7 f8f7,2242,245,82,20,advantage long middlegame pin,https://lichess.org/Rw5qb1Fn#33
0VxmB,r2qr1k1/1pp1nppp/p2p4/3P4/1PBb3B/P4Q1P/5PP1/3RR1K1 b - - 1 19,d4e5 e1e5 d6e5 d5d6,1306,83,52,44,crushing middlegame sacrifice short,https://lichess.org/3Zoc3FIm/black#38
0PPzV,2r2rk1/4bpp1/1Q2p3/2NpPn1p/qP1P4/5N2/5PPP/2B2R1K b - - 1 24,c8b8 c5a4 b8b6 a4b6,1256,75,86,434,advantage middlegame short,https://lichess.org/3yrynSFy/black#48
0MhtH,8/p1k5/4p3/1p1p4/3P1K2/4PP2/P7/8 b - - 1 31,a7a6 f4e5 c7d7 f3f4 b5b4 f4f5 e6f5 e5d5,2481,75,91,658,crushing deflection endgame pawnEndgame quietMove veryLong,https://lichess.org/eZoxpqJw/black#62
0OywO,2b3k1/p4pp1/2p1p2p/2N1P3/2PrN3/1P4P1/P3K2P/8 b - - 0 23,f7f5 e4d6 d4d6 e5d6,2021,82,85,39,advantage endgame short,https://lichess.org/T5qEmSEp/black#46
0wPBW,r1b2r2/pp1pqkpp/1b6/3QP3/3P4/5N2/PP3PPP/R4RK1 b - - 0 15,e7e6 f3g5 f7g8 g5e6,1074,174,100,7,crushing fork middlegame short,https://lichess.org/FnVZrcbm/black#30
0kcmk,8/5p2/6pp/p1k5/2P3PP/3K4/P7/8 b - - 0 39,f7f5 h4h5 g6h5 g4f5 c5d6 d3d4 h5h4 c4c5,2553,87,80,126,crushing deflection endgame pawnEndgame veryLong,https://lichess.org/OUUCddKS/black#78
12VPC,rn1qkb1r/p4ppp/bp2pn2/3p4/3P4/5NP1/PP2PPBP/RNBQR1K1 b kq - 0 8,f8b4 d1a4 d8d7 a4b4,1046,76,95,1540,advantage fork middlegame short,https://lichess.org/hsKPcwAk/black#16
0s2Ca,8/7K/6P1/8/pk6/8/8/8 b - - 0 67,b4b3 g6g7 a4a3 g7g8q,600,87,100,197,advancedPawn crushing endgame pawnEndgame promotion short,https://lichess.org/CeTllSYl/black#134
12wxO,6r1/4kp2/p2b1p2/1p1PpBr1/1P1q3p/P5PQ/2P2P1P/3R1RK1 b - - 1 27,h4g3 d1d4 g3f2 g1f2,1183,80,93,729,crushing middlegame short,https://lichess.org/QGUXi03t/black#54
0nUeb,2r5/8/3k3p/p2p2p1/1p1K4/PP3P1P/2P3R1/8 w - - 0 31,f3f4 b4a3 f4g5 a3a2 g2g1 h6g5 d4d3 a5a4,2611,105,90,105,advancedPawn crushing endgame rookEndgame veryLong,https://lichess.org/e8MZJFPM#61
0mnoT,r2r3R/1b3k1Q/p1pp1p2/1p2nP2/4P1q1/P1P5/2P5/2K4R b - - 3 28,g4g7 h7g7 f7g7 h1h7,1790,82,87,60,attraction mate mateIn2 middlegame short,https://lichess.org/72eiJhwb/black#56
0U91P,r4rk1/6np/p2b1p1Q/3PpPp1/Pqp1P3/7P/2BN1PRK/R7 w - - 0 30,d2f3 g7f5 e4f5 e5e4 h2h1 e4f3,2354,84,88,220,crushing discoveredAttack long middlegame sacrifice,https://lichess.org/yedhdkAL#59
0Uknp,2rqr1k1/pb2b1pp/1p2p3/3pn3/3Q4/P2B3P/1P1N1PP1/R1B1R1K1 b - - 0 18,e7f6 e1e5 f6e5 d4e5,1338,74,90,3587,advantage opening short,https://lichess.org/HvsjbwXv/black#36
0Vbpo,8/6k1/3p1Qp1/3qp2p/4N3/3p3K/8/8 b - - 1 44,g7h7 e4g5 h7g8 f6g6 g8f8 g5e6,2311,86,90,638,crushing deflection endgame long,https://lichess.org/RUOtlGCu/black#88
0YWCj,1r4k1/p2R1pp1/1pp4p/2N1P2q/1P2BPn1/P5P1/3R3P/6K1 b - - 1 28,b6c5 d7d8 b8d8 d2d8,1038,136,100,24,endgame kingsideAttack mate mateIn2 short,https://lichess.org/fcQ9PSLw/black#56
02bmv,r4rk1/pp3pbp/5pp1/7q/1Q1PP1b1/3B1N1P/PP1B1P2/R3K2R w KQ - 0 18,h3g4 h5h1 e1e2 h1a1,965,97,94,524,advantage fork hangingPiece middlegame short skewer,https://lichess.org/F902uvuZ#35
0IR54,r3k2r/2p2pp1/p2bqn1p/1p1pn2Q/3p1B2/2P4P/PPBN1PP1/4RK1R w kq - 8 18,e1e5 f6h5 e5e6 f7e6,1988,120,25,9,advantage middlegame short,https://lichess.org/n7H4Bel0#35
11QkT,r3r1k1/1p3ppp/1q3n2/p2pNQ2/3p1P2/P4NP1/1P4BP/3R3K b - - 3 22,b6b2 f3g5 a8c8 g2d5,2404,92,85,230,advantage discoveredAttack middlegame short,https://lichess.org/BGfr1LYU/black#44
0G4iu,8/8/8/pPk5/P2p1K2/8/8/8 b - - 1 54,d4d3 f4e3 c5c4 e3d2,1908,76,85,88,crushing endgame pawnEndgame short,https://lichess.org/wGe23o9w/black#108
03dHm,7r/pp3kp1/4q2r/1PPpbp2/4p3/4P1PP/P3QPB1/2RR2K1 b - - 0 28,h6h3 g2h3 h8h3 g1g2,2046,74,92,995,advantage master middlegame short,https://lichess.org/CzuRIyvX/black#56
00sco,r2q1rk1/pp2bp1b/2p1p2Q/3nP2N/2B5/2P5/PP3PPP/R3R1K1 b - - 2 20,e7g5 h6g7,1154,148,-33,14,mate mateIn1 middlegame oneMove,https://lichess.org/4HkYGyHF/black#40
0PW8x,8/6k1/1r1pq2p/1P2pp2/5P1P/3Q2P1/8/1R4K1 b - - 0 30,e5e4 d3d4 g7f7 d4b6,1268,86,67,63,crushing endgame fork short,https://lichess.org/NSRit3cs/black#60
0nzc3,qr4k1/3b1ppp/2nppb2/1Bp5/4P3/2NP1N2/1PP2PPP/3QR1K1 w - - 1 15,d1d2 f6c3 b2c3 b8b5,1358,76,97,10871,advantage capturingDefender middlegame short,https://lichess.org/nDIKwcpO#29
0oWgp,3r1rk1/pb3p1p/1p2pPp1/1P5q/P4PQ1/3P2P1/3B2P1/R5RK w - - 3 27,g4h4 h5h4 g3h4 d8d3 h1h2 d3d2,2197,76,94,987,crushing kingsideAttack long middlegame,https://lichess.org/OqtM86eH#53
09KA8,rn1qkb1r/ppp1pppp/5n2/4N3/2B1P1b1/8/PP1P1PPP/RNBQK2R b KQkq - 4 6,g4d1 c4f7,1270,76,90,2188,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/cA4Flz3c/black#12
0rNRB,r2q1rk1/4ppbp/p4np1/2p1N3/3p1B2/5Q2/PPP2PPP/R3R1K1 b - - 1 17,f6d5 e5c6 d8b6 f3d5,1590,75,94,7192,advantage middlegame short,https://lichess.org/VDQTw4o3/black#34
0QS2T,8/1p6/p1p1bkp1/P1P1p2p/1P2P3/4K3/4BPP1/8 w - - 0 30,e3f3 e6g4 f3e3 g4e2 e3e2 f6g5,1352,75,97,766,bishopEndgame crushing defensiveMove endgame long,https://lichess.org/eYkQJW9G#59
0IZxy,r3r1k1/3b2p1/p1n1pq2/1p4N1/3pQP2/2P4R/PP4PP/R5K1 b - - 3 22,d4c3 h3h8 g8h8 e4h7,1687,75,95,572,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/kTjKS1Lj/black#44
0kqPZ,8/5pkp/4p1p1/3pP3/3P4/1PQn2PP/5P2/1q3NK1 w - - 1 37,g1g2 d3e1 g2g1 b1e4 f1e3 e1f3,1849,75,90,854,clearance crushing endgame long,https://lichess.org/pzkEgTYk#73
09quc,4rk2/3Rbq2/7p/1p3p1P/1P4Q1/2P5/4R1P1/7K w - - 0 39,g4f4 f7h5 h1g1 h5e2 f4f5 f8g7,1850,94,72,54,advantage defensiveMove endgame fork long,https://lichess.org/dsyvZyVS#77
06tOY,r1b2rk1/pp4pp/n1p1ppn1/8/2P1q3/2B2NPP/PP2BP2/R2Q1RK1 b - - 0 13,e6e5 e2d3 e4d3 d1d3,1312,75,92,1925,crushing master middlegame short trappedPiece,https://lichess.org/yLIbZsUt/black#26
079h4,6qk/pp4rp/n1p5/4Q3/2P1P3/P2P4/1PK2R2/8 b - - 6 32,h7h6 f2f6 h8h7 e5f5,2477,80,84,317,crushing endgame short,https://lichess.org/QYZeI6HY/black#64
0Glma,5rk1/2p2rp1/1n2pN2/p5Q1/8/P6P/2PK4/6R1 b - - 4 27,f7f6 g5g7,957,109,90,266,endgame mate mateIn1 oneMove,https://lichess.org/ZgoEyMpS/black#54
0HIag,r2qk2r/1b3pbp/pp2p3/8/4NP2/3p1N2/PPQ3PP/R1B1K2R w KQkq - 0 14,c2c4 a8c8 c4b4 g7f8,2333,95,76,85,advantage opening short,https://lichess.org/LLPMEdIh#27
0kr7z,3rr3/1p3pbk/p5pp/8/3BpPP1/1b5P/PPPR4/3R2K1 w - - 0 23,d4g7 d8d2 d1d2 e4e3 d2e2 b3c4 e2e3 e8e3,1985,75,95,2414,crushing endgame veryLong,https://lichess.org/g0O8v2X5#45
078kF,r7/5ppp/8/1pk5/2b5/5P2/P2R2PP/K1R5 w - - 2 32,a1b2 a8a2 b2b1 a2d2,659,79,100,738,crushing endgame short skewer,https://lichess.org/0mfaNFVP#63
0ar6r,5b1r/p2Q1bp1/5q2/2p1pBk1/6n1/2N3p1/PPP2PP1/R4RK1 w - - 1 22,f2g3 h8h1 g1h1 f6h6 h1g1 h6h2,1756,74,95,6532,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/zRqSfYs6#43
11ILN,r3r2k/ppp1BQp1/3n3p/1P2R3/b1P5/3q3P/B4PP1/RN4K1 w - - 1 21,e7d6 d3d1 g1h2 d1d6,1896,95,66,34,advantage fork middlegame pin short,https://lichess.org/bybBihUH#41
0jOGV,2r5/8/2p5/8/6R1/2KPP3/k2Nq3/8 b - - 4 44,e2e3 g4a4,993,76,96,598,endgame mate mateIn1 oneMove,https://lichess.org/bhAlsh09/black#88
0ERtW,r3kb1r/pb1q1ppp/1pn1p3/8/3N4/P1PQ2P1/4PPBP/R1B2RK1 b kq - 0 12,f8e7 d4c6 b7c6 d3d7 e8d7 f1d1 e7d6 c1f4,2220,76,94,2653,attraction crushing discoveredAttack middlegame veryLong,https://lichess.org/Wh22KIfs/black#24
0r1bD,2k4r/ppbn4/6pP/3pP1B1/3R2P1/4Q3/1q6/5RK1 w - - 0 31,e5e6 b2h2,1272,110,100,104,master mate mateIn1 middlegame oneMove,https://lichess.org/a5CodV72#61
11kSS,r1b1qrk1/ppQ2ppp/2p5/8/2B1P3/P7/5PPP/3R1RK1 b - - 3 17,e8e4 c7f7 f8f7 d1d8 e4e8 d8e8,1687,75,93,755,kingsideAttack long mate mateIn3 middlegame pin sacrifice,https://lichess.org/s3oORwA3/black#34
14Wug,1rb1rQ1k/6pp/p2p3B/q2pP3/8/2N5/PPP3PP/R4RK1 b - - 0 20,e8f8 f1f8,1350,226,100,28,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/TbQDUVxB/black#40
0TobO,r2k3r/1R4pp/4b3/p3N3/1b6/8/PB3PPP/5K1R w - - 0 21,e5f7 d8c8 b7b4 a5b4 f7h8 a8a2 b2g7 a2c2 g2g4 e6c4 f1g2 c4d5 g2g3 d5h1,2302,147,100,19,crushing defensiveMove middlegame sacrifice skewer veryLong,https://lichess.org/4gHXacEc#41
055tr,2r3k1/1b3pPp/7B/8/Bp1b4/6PP/7K/5R2 b - - 1 37,c8a8 a4b3 d4g7 h6g7 b7d5 b3d5,1731,336,100,3,crushing endgame long,https://lichess.org/PePfYcJ5/black#74
01s5n,3r4/p4ppk/2q4p/2NpPb2/1P1Q4/2P2P2/P6P/3R3K w - - 11 41,c3c4 d5c4 d4d8 c6f3,1108,77,83,329,advantage discoveredAttack endgame pin sacrifice short,https://lichess.org/vJr2AQeC#81
0FjYH,r6k/ppp3pp/2n5/3r4/4b3/P1P5/2P2PPP/R1B1R1K1 w - - 0 18,e1e4 d5d1 e4e1 d1e1,632,95,73,95,backRankMate endgame mate mateIn2 short,https://lichess.org/MCHE7wOZ#35
0AhE3,2r5/6R1/pp2pr1k/2ppN2p/3PnP2/P3P2P/1P2K3/6R1 b - - 1 35,c5d4 e5f7 f6f7 g1g6,2072,83,92,157077,endgame mate mateIn2 sacrifice short,https://lichess.org/4b9oO1CQ/black#70
13riI,r1bq2k1/pp3ppp/2n2n2/2N5/1P1p1b2/PN1PrBPP/1BPK4/R2Q3R b - - 0 19,e3d3 d2d3 c8f5 d3e2,2051,75,89,88,advantage defensiveMove hangingPiece middlegame short,https://lichess.org/paCIuyfb/black#38
0OW4a,8/4q3/P4pk1/2Np1p1r/3PnQp1/4P1P1/6P1/5RK1 w - - 1 36,f1a1 e7h7 c5e4 h5h1 g1f2 h1a1,1844,117,100,30,crushing endgame long quietMove sacrifice skewer,https://lichess.org/S5ws3YLz#71
